iter	Passed	Remaining
818	6538	1445
819	6546	1437
820	6554	1429
821	6560	1420
822	6569	1412
823	6576	1404
824	6584	1396
825	6590	1388
826	6599	1380
827	6607	1372
828	6613	1364
829	6620	1355
830	6628	1347
831	6636	1340
832	6643	1331
833	6653	1324
834	6661	1316
835	6669	1308
836	6678	1300
837	6687	1292
838	6696	1284
839	6704	1277
840	6711	1268
841	6719	1260
842	6726	1252
843	6733	1244
844	6740	1236
845	6750	1228
846	6757	1220
847	6767	1213
848	6774	1204
849	6783	1197
850	6790	1188
851	6798	1180
852	6806	1172
853	6814	1165
854	6821	1156
855	6830	1149
856	6836	1140
857	6843	1132
858	6853	1124
859	6863	1117
860	6870	1109
861	6879	1101
862	6885	1093
863	6892	1084
864	6900	1076
865	6907	1068
866	6915	1060
867	6923	1052
868	6929	1044
869	6936	1036
870	6945	1028
871	6952	1020
872	6963	1012
873	6970	1004
874	6979	997
875	6986	989
876	6995	981
877	7002	972
878	7010	965
879	7017	956
880	7026	949
881	7032	940
882	7038	932
883	7047	924
884	7056	916
885	7064	908
886	7072	901
887	7081	893
888	7089	885
889	7097	877
890	7103	869
891	7112	861
892	7119	853
893	7125	844
894	7132	836
895	7142	829
896	7149	820
897	7158	813
898	7166	805
899	7174	797
900	7180	788
901	7189	781
902	7197	773
903	7205	765
904	7211	757
905	7218	748
906	7225	740
907	7233	732
908	7241	724
909	7249	716
910	7256	708
911	7265	701
912	7274	693
913	7280	685
914	7288	677
915	7294	668
916	7303	661
917	7311	653
918	7320	645
919	7327	637
920	7336	629
921	7343	621
922	7349	613
923	7356	605
924	7366	597
925	7374	589
926	7385	581
927	7393	573
928	7402	565
929	7408	557
930	7415	549
931	7422	541
932	7430	533
933	7439	525
934	7448	517
935	7454	509
936	7461	501
937	7470	493
938	7477	485
939	7487	477
940	7495	469
941	7504	462
942	7511	454
943	7517	445
944	7525	437
945	7534	430
946	7542	422
947	7551	414
948	7558	406
949	7567	398
950	7573	390
951	7583	382
952	7590	374
953	7598	366
954	7604	358
955	7611	350
956	7618	342
957	7625	334
958	7635	326
959	7643	318
960	7650	310
961	7656	302
962	7665	294
963	7674	286
964	7684	278
965	7693	270
966	7701	262
967	7711	254
968	7717	246
969	7724	238
970	7732	230
971	7739	222
972	7748	215
973	7755	207
974	7763	199
975	7769	191
976	7779	183
977	7786	175
978	7795	167
979	7801	159
980	7808	151
981	7815	143
982	7822	135
983	7832	127
984	7839	119
985	7846	111
986	7852	103
987	7861	95
988	7868	87
989	7877	79
990	7886	71
991	7895	63
992	7902	55
993	7909	47
994	7917	39
995	7926	31
996	7934	23
997	7942	15
998	7949	7
999	7958	0
